Number,Name,Address,Latitude,Longitude,Banking,Bonus,Status,Bike_stands,Available_bike_stands,Available_bikes,Last_update
79,ECCLES STREET EAST,Eccles Street East,53.358115,-6.265601,False,False,OPEN,27,27,0,1523800579000
69,GRAND CANAL DOCK,Grand Canal Dock,53.342638,-6.238695,False,False,OPEN,40,4,36,1523800464000
25,MERRION SQUARE EAST,Merrion Square East,53.339434,-6.246548,False,False,OPEN,30,21,9,1523800453000
51,YORK STREET WEST,York Street West,53.339334,-6.264699,False,False,OPEN,40,17,23,1523800657000
37,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,53.337494,-6.26199,True,False,OPEN,30,12,18,1523800560000
59,DENMARK STREET GREAT,Denmark Street Great,53.35561,-6.261397,False,False,OPEN,20,20,0,1523800058000
95,ROYAL HOSPITAL,Royal Hospital,53.343897,-6.29706,True,False,OPEN,40,32,8,1523800604000
94,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),53.346985,-6.297804,False,False,OPEN,40,15,25,1523800287000
105,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),53.355954,-6.278378,False,False,OPEN,36,28,8,1523800508000
36,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,53.337824,-6.256035,True,False,OPEN,40,20,20,1523800545000
93,HEUSTON STATION (CENTRAL),Heuston Station (Central),53.346603,-6.296924,False,False,OPEN,40,3,37,1523800181000
22,TOWNSEND STREET,Townsend Street,53.345922,-6.254614,False,False,OPEN,20,3,17,1523800608000
50,GEORGES LANE,George's Lane,53.35023,-6.279696,False,False,OPEN,40,40,0,1523800111000
12,ECCLES STREET,Eccles Street,53.359246,-6.269779,False,False,OPEN,20,20,0,1523800180000
34,PORTOBELLO HARBOUR,Portobello Harbour,53.330362,-6.265163,False,False,OPEN,30,12,18,1523800500000
78,MATER HOSPITAL,Mater Hospital,53.359967,-6.264828,False,False,OPEN,40,39,1,1523800365000
